epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.0625,1.3901365995407104,,
0,99,0.71875,1.3993409872055054,,
0,149,0.90625,1.3658318519592285,,
0,197,,,0.8276299238204956,1.3821444511413574
1,199,0.8125,1.3922193050384521,,
1,249,0.875,1.3723528385162354,,
1,299,0.84375,1.396053671836853,,
1,349,0.6875,1.3948078155517578,,
1,395,,,0.8276299238204956,1.3827749490737915
2,399,0.8125,1.3810336589813232,,
2,449,0.84375,1.3789467811584473,,
2,499,0.78125,1.3808327913284302,,
2,549,0.90625,1.347121000289917,,
2,593,,,0.8276299238204956,1.3812105655670166
3,599,0.90625,1.3616931438446045,,
3,649,0.875,1.3733595609664917,,
3,699,0.9375,1.3413598537445068,,
3,749,0.875,1.3788214921951294,,
3,791,,,0.8054499626159668,1.3803175687789917
4,799,0.71875,1.4020146131515503,,
4,849,0.6875,1.3866537809371948,,
4,899,0.78125,1.4058942794799805,,
4,949,0.84375,1.3792465925216675,,
4,989,,,0.8276299238204956,1.3791955709457397
5,999,0.84375,1.3593987226486206,,
5,1049,0.78125,1.3935962915420532,,
5,1099,0.75,1.3371220827102661,,
5,1149,0.75,1.3763161897659302,,
5,1187,,,0.8276299238204956,1.384390950202942
6,1199,0.78125,1.4203274250030518,,
6,1249,1.0,1.302629828453064,,
6,1299,0.78125,1.384368896484375,,
6,1349,0.875,1.3638850450515747,,
6,1385,,,0.7877059578895569,1.378513216972351
7,1399,0.5625,1.3739633560180664,,
7,1449,0.59375,1.3788520097732544,,
7,1499,0.875,1.4013646841049194,,
7,1549,0.84375,1.4196124076843262,,
7,1583,,,0.3986058235168457,1.37763512134552
8,1599,0.46875,1.3838406801223755,,
8,1649,0.78125,1.3797965049743652,,
8,1699,0.71875,1.4359668493270874,,
8,1749,0.71875,1.342038631439209,,
8,1781,,,0.4904943108558655,1.376237154006958
9,1799,0.875,1.383393406867981,,
9,1849,0.65625,1.3906105756759644,,
9,1899,0.65625,1.3998597860336304,,
9,1949,0.9375,1.3431127071380615,,
9,1979,,,0.6394169926643372,1.374502182006836
10,1999,0.40625,1.404720664024353,,
10,2049,0.8125,1.3953434228897095,,
10,2099,0.59375,1.321576476097107,,
10,2149,0.625,1.3786295652389526,,
10,2177,,,0.7484157085418701,1.3773770332336426
11,2199,0.71875,1.437613606452942,,
11,2249,0.625,1.3570873737335205,,
11,2299,0.75,1.356290578842163,,
11,2349,0.6875,1.3914786577224731,,
11,2375,,,0.766793429851532,1.3766978979110718
12,2399,0.75,1.3780680894851685,,
