epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.84375,0.6680936217308044,,
0,99,0.71875,0.9240426421165466,,
0,149,0.8125,0.714674174785614,,
0,197,,,0.8206590414047241,0.6674079895019531
1,199,0.78125,0.776104211807251,,
1,249,0.9375,0.33164262771606445,,
1,299,0.78125,0.7589356303215027,,
1,349,0.875,0.5273600816726685,,
1,395,,,0.8206590414047241,0.6709470152854919
2,399,0.8125,0.6889503598213196,,
2,449,0.8125,0.6984865069389343,,
2,499,0.9375,0.3592979907989502,,
2,549,0.875,0.5237821936607361,,
2,593,,,0.8206590414047241,0.6687062978744507
3,599,0.90625,0.4474499523639679,,
3,649,0.875,0.5166149735450745,,
3,699,0.8125,0.6922368407249451,,
3,749,0.96875,0.2833085358142853,,
3,791,,,0.8206590414047241,0.6675313115119934
4,799,0.78125,0.7758916616439819,,
4,849,0.75,0.8373352289199829,,
4,899,0.78125,0.7690116763114929,,
4,949,0.875,0.5207049250602722,,
4,989,,,0.8206590414047241,0.6704341173171997
5,999,0.875,0.5250580906867981,,
5,1049,0.84375,0.6018669605255127,,
5,1099,0.84375,0.5965963006019592,,
5,1149,0.75,0.8225821256637573,,
5,1187,,,0.8206590414047241,0.6685526967048645
6,1199,0.8125,0.689869225025177,,
6,1249,0.75,0.8425942659378052,,
6,1299,0.71875,0.9398778080940247,,
6,1349,0.75,0.843880832195282,,
6,1385,,,0.8206590414047241,0.6680395603179932
7,1399,0.75,0.8382232189178467,,
7,1449,0.8125,0.7062861919403076,,
7,1499,0.8125,0.6860951781272888,,
7,1549,0.84375,0.6041276454925537,,
7,1583,,,0.8206590414047241,0.6714165806770325
8,1599,0.78125,0.7646259069442749,,
8,1649,0.84375,0.6163802146911621,,
8,1699,0.84375,0.5988951921463013,,
8,1749,0.71875,0.911244809627533,,
8,1781,,,0.8206590414047241,0.6669719815254211
9,1799,0.84375,0.6024439334869385,,
9,1849,0.8125,0.6816094517707825,,
9,1899,0.90625,0.4601749777793884,,
9,1949,0.8125,0.6673955917358398,,
