epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.9375,0.4434357285499573,,
0,99,0.90625,0.45325788855552673,,
0,149,0.875,0.5320350527763367,,
0,197,,,0.8326995968818665,0.6440901756286621
1,199,0.90625,0.45769360661506653,,
1,249,0.84375,0.6177893877029419,,
1,299,0.78125,0.7608144879341125,,
1,349,0.84375,0.6146500706672668,,
1,395,,,0.8326995968818665,0.6365242600440979
2,399,0.875,0.5193051099777222,,
2,449,0.875,0.5288435220718384,,
2,499,0.875,0.5297254323959351,,
2,549,1.0,0.2194157987833023,,
2,593,,,0.8326995968818665,0.635062038898468
3,599,0.875,0.5020478367805481,,
3,649,0.875,0.5313722491264343,,
3,699,0.875,0.5270416140556335,,
3,749,0.8125,0.6680806279182434,,
3,791,,,0.8326995968818665,0.6354042291641235
4,799,0.8125,0.6963614225387573,,
4,849,0.84375,0.6064817905426025,,
4,899,0.6875,1.0128697156906128,,
4,949,0.8125,0.6968552470207214,,
4,989,,,0.8326995968818665,0.6396685242652893
5,999,0.78125,0.7503955364227295,,
5,1049,0.9375,0.3699182868003845,,
5,1099,0.75,0.8505591154098511,,
5,1149,0.84375,0.6083864569664001,,
5,1187,,,0.8326995968818665,0.6363151669502258
6,1199,0.8125,0.7203699350357056,,
6,1249,0.78125,0.7455710172653198,,
6,1299,0.75,0.8807019591331482,,
6,1349,0.875,0.5412900447845459,,
6,1385,,,0.8326995968818665,0.6375402212142944
7,1399,0.8125,0.6716512441635132,,
7,1449,0.78125,0.7651263475418091,,
7,1499,0.875,0.524075448513031,,
7,1549,0.84375,0.6067293286323547,,
7,1583,,,0.8326995968818665,0.637593150138855
8,1599,0.71875,0.9327957630157471,,
8,1649,0.75,0.8580760359764099,,
8,1699,0.6875,1.0352247953414917,,
8,1749,0.78125,0.7398996949195862,,
8,1781,,,0.8326995968818665,0.6372297406196594
9,1799,0.5625,1.3391145467758179,,
9,1849,0.65625,1.1053833961486816,,
9,1899,0.90625,0.41417497396469116,,
9,1949,0.9375,0.3545607030391693,,
9,1979,,,0.8326995968818665,0.6395739912986755
10,1999,0.8125,0.6996630430221558,,
10,2049,0.8125,0.6818726658821106,,
10,2099,0.90625,0.4227328300476074,,
10,2149,0.875,0.5328512191772461,,
10,2177,,,0.8326995968818665,0.6352444887161255
11,2199,0.875,0.5225176811218262,,
11,2249,0.8125,0.6926261782646179,,
11,2299,0.875,0.5162515044212341,,
11,2349,0.8125,0.7104657888412476,,
11,2375,,,0.8326995968818665,0.6382932066917419
12,2399,0.875,0.5223745107650757,,
12,2449,0.90625,0.4417085647583008,,
12,2499,0.8125,0.7067681550979614,,
12,2549,0.71875,0.9140575528144836,,
12,2573,,,0.8326995968818665,0.6352473497390747
13,2599,0.78125,0.7642648816108704,,
13,2649,0.6875,0.9985446333885193,,
13,2699,0.84375,0.6148028373718262,,
13,2749,0.875,0.5167014002799988,,
13,2771,,,0.8326995968818665,0.6350855827331543
14,2799,0.8125,0.6941149830818176,,
14,2849,0.90625,0.41779693961143494,,
14,2899,0.71875,0.9706047177314758,,
14,2949,0.875,0.5219854116439819,,
14,2969,,,0.8326995968818665,0.63716721534729
15,2999,0.90625,0.4564630389213562,,
15,3049,0.71875,0.9474115967750549,,
15,3099,0.90625,0.4336397647857666,,
15,3149,0.8125,0.6954631209373474,,
15,3167,,,0.8326995968818665,0.6399151682853699
16,3199,0.875,0.527159571647644,,
16,3249,0.75,0.8653731346130371,,
16,3299,0.875,0.5304628610610962,,
16,3349,0.6875,1.02006196975708,,
16,3365,,,0.8326995968818665,0.6379784941673279
17,3399,0.75,0.8624711036682129,,
17,3449,0.875,0.5163517594337463,,
17,3499,0.8125,0.6730476021766663,,
17,3549,0.71875,0.9255398511886597,,
17,3563,,,0.8326995968818665,0.6375614404678345
18,3599,0.90625,0.43734824657440186,,
18,3649,0.84375,0.6115948557853699,,
18,3699,0.84375,0.6238316297531128,,
18,3749,0.84375,0.6025959849357605,,
18,3761,,,0.8326995968818665,0.6373958587646484
19,3799,0.84375,0.5999271273612976,,
19,3849,0.78125,0.7846368551254272,,
19,3899,0.65625,1.0907543897628784,,
19,3949,0.75,0.8481566905975342,,
19,3959,,,0.8326995968818665,0.6383326649665833
20,3999,0.84375,0.6051156520843506,,
20,4049,0.90625,0.43136146664619446,,
20,4099,0.875,0.5139878988265991,,
20,4149,0.84375,0.6056928634643555,,
20,4157,,,0.8326995968818665,0.6445856094360352
21,4199,0.875,0.5246874690055847,,
21,4249,0.9375,0.3561747670173645,,
21,4299,0.71875,0.9240995645523071,,
21,4349,0.875,0.5381288528442383,,
21,4355,,,0.8326995968818665,0.6376832723617554
22,4399,0.875,0.5153363347053528,,
22,4449,0.8125,0.6677630543708801,,
22,4499,0.75,0.8552089929580688,,
22,4549,0.75,0.8683905005455017,,
