epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.875,0.7006555199623108,,
0,99,0.78125,0.7876116037368774,,
0,149,0.96875,0.26927459239959717,,
0,197,,,0.8136882185935974,0.695515513420105
1,199,0.8125,0.6896087527275085,,
1,249,0.78125,0.7985696792602539,,
1,299,0.8125,0.6758708357810974,,
1,349,0.875,0.5077962279319763,,
1,395,,,0.8136882185935974,0.6845894455909729
2,399,0.9375,0.37196236848831177,,
2,449,0.90625,0.46516942977905273,,
2,499,0.8125,0.6954535841941833,,
2,549,0.71875,0.9622654318809509,,
2,593,,,0.8136882185935974,0.6850900650024414
3,599,0.875,0.5494690537452698,,
3,649,0.78125,0.7962697148323059,,
3,699,0.90625,0.431834876537323,,
3,749,0.71875,0.9850571155548096,,
3,791,,,0.8136882185935974,0.6882055997848511
4,799,0.71875,0.9710657596588135,,
4,849,0.78125,0.7512840032577515,,
4,899,0.78125,0.751762866973877,,
4,949,0.8125,0.6797134876251221,,
4,989,,,0.8136882185935974,0.6862406134605408
5,999,0.78125,0.7634991407394409,,
5,1049,0.84375,0.6190944314002991,,
5,1099,0.875,0.5157716274261475,,
5,1149,0.71875,0.899009108543396,,
5,1187,,,0.8136882185935974,0.6830058097839355
6,1199,0.71875,0.9200614094734192,,
6,1249,0.8125,0.6900081634521484,,
6,1299,0.84375,0.6118991374969482,,
6,1349,0.8125,0.6967513561248779,,
6,1385,,,0.8136882185935974,0.6842001080513
7,1399,0.84375,0.6240463852882385,,
7,1449,0.8125,0.6896336674690247,,
7,1499,0.71875,0.9684242010116577,,
7,1549,0.875,0.536708414554596,,
7,1583,,,0.8136882185935974,0.6867620348930359
8,1599,0.875,0.5449406504631042,,
8,1649,0.8125,0.6871711015701294,,
8,1699,0.75,0.8798679709434509,,
8,1749,0.75,0.8564620614051819,,
8,1781,,,0.8136882185935974,0.6830065250396729
9,1799,0.9375,0.3394004702568054,,
9,1849,0.78125,0.7522033452987671,,
9,1899,0.84375,0.604236364364624,,
9,1949,0.78125,0.7751725912094116,,
9,1979,,,0.8136882185935974,0.6848413944244385
10,1999,0.8125,0.7050816416740417,,
10,2049,0.9375,0.35857415199279785,,
10,2099,0.71875,0.9501410722732544,,
10,2149,0.8125,0.6948795914649963,,
10,2177,,,0.8136882185935974,0.6831807494163513
11,2199,0.78125,0.7768354415893555,,
11,2249,0.8125,0.7022808194160461,,
11,2299,0.78125,0.7679305076599121,,
11,2349,0.90625,0.4461778998374939,,
11,2375,,,0.8136882185935974,0.6841750144958496
12,2399,0.75,0.8602078557014465,,
12,2449,0.84375,0.6190119981765747,,
12,2499,0.84375,0.6211941242218018,,
12,2549,0.84375,0.61052006483078,,
12,2573,,,0.8136882185935974,0.6851479411125183
13,2599,0.90625,0.45300373435020447,,
13,2649,0.75,0.8749924898147583,,
13,2699,0.84375,0.5907378792762756,,
13,2749,0.90625,0.4571414589881897,,
13,2771,,,0.8136882185935974,0.6897284984588623
14,2799,0.75,0.8524894118309021,,
14,2849,0.75,0.8664331436157227,,
14,2899,0.875,0.5279526114463806,,
14,2949,0.75,0.8638890981674194,,
14,2969,,,0.8136882185935974,0.6837999820709229
15,2999,0.8125,0.7062616944313049,,
15,3049,0.90625,0.43327435851097107,,
15,3099,0.8125,0.6957250833511353,,
15,3149,0.71875,0.9294989109039307,,
15,3167,,,0.8136882185935974,0.6826177835464478
16,3199,0.78125,0.7725145816802979,,
16,3249,0.84375,0.5863529443740845,,
16,3299,0.84375,0.608060896396637,,
16,3349,0.8125,0.7016470432281494,,
16,3365,,,0.8136882185935974,0.6832452416419983
17,3399,0.84375,0.6262432336807251,,
17,3449,0.875,0.5289971828460693,,
17,3499,0.90625,0.44118165969848633,,
17,3549,0.84375,0.6017683744430542,,
17,3563,,,0.8136882185935974,0.6879594922065735
18,3599,0.84375,0.5989109873771667,,
18,3649,0.8125,0.7046747207641602,,
18,3699,0.71875,0.9385148882865906,,
18,3749,0.8125,0.6829485893249512,,
18,3761,,,0.8136882185935974,0.6869369149208069
19,3799,0.90625,0.414224773645401,,
19,3849,0.78125,0.7658652067184448,,
19,3899,0.9375,0.3487868010997772,,
19,3949,0.84375,0.6070385575294495,,
19,3959,,,0.8136882185935974,0.6885486841201782
20,3999,0.71875,0.934240460395813,,
20,4049,0.8125,0.6803893446922302,,
20,4099,0.90625,0.4451829195022583,,
20,4149,0.84375,0.589289128780365,,
20,4157,,,0.8136882185935974,0.686672568321228
21,4199,0.8125,0.6960443258285522,,
21,4249,0.75,0.8563500642776489,,
21,4299,0.75,0.8657265305519104,,
21,4349,0.75,0.8625140190124512,,
21,4355,,,0.8136882185935974,0.68671053647995
22,4399,0.90625,0.4390244483947754,,
22,4449,0.75,0.8436338305473328,,
22,4499,0.78125,0.7591670751571655,,
22,4549,0.84375,0.6267697811126709,,
22,4553,,,0.8136882185935974,0.687893271446228
23,4599,0.78125,0.7673253417015076,,
23,4649,0.9375,0.34214502573013306,,
23,4699,0.90625,0.4610794186592102,,
23,4749,0.84375,0.5943548083305359,,
23,4751,,,0.8136882185935974,0.6883803009986877
24,4799,0.90625,0.4566447138786316,,
24,4849,0.84375,0.6026535034179688,,
24,4899,0.96875,0.2850387692451477,,
24,4949,0.6666666865348816,1.0324208736419678,,
24,4949,,,0.8136882185935974,0.6876504421234131
25,4999,0.9375,0.38163405656814575,,
25,5049,0.8125,0.6995099782943726,,
25,5099,0.8125,0.6804898381233215,,
25,5147,,,0.8136882185935974,0.6887022852897644
26,5149,0.8125,0.6858112812042236,,
26,5199,0.8125,0.6633614301681519,,
26,5249,0.8125,0.6949418187141418,,
26,5299,0.5625,1.3377182483673096,,
26,5345,,,0.8136882185935974,0.685647189617157
27,5349,0.75,0.8555953502655029,,
27,5399,0.84375,0.6170913577079773,,
27,5449,0.84375,0.624252200126648,,
27,5499,0.78125,0.7738326787948608,,
27,5543,,,0.8136882185935974,0.6852737069129944
28,5549,0.75,0.8423939943313599,,
28,5599,0.90625,0.4463946223258972,,
28,5649,0.84375,0.6001529097557068,,
28,5699,0.78125,0.7543478608131409,,
28,5741,,,0.8136882185935974,0.6892085075378418
29,5749,0.78125,0.7677724361419678,,
29,5799,0.875,0.5331406593322754,,
29,5849,0.90625,0.4181741178035736,,
29,5899,0.84375,0.6175553202629089,,
29,5939,,,0.8136882185935974,0.6864604949951172
