epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.8125,1.319575309753418,,
0,99,0.84375,1.2564867734909058,,
0,149,0.8125,1.3282749652862549,,
0,197,,,0.8244613409042358,1.2380400896072388
1,199,0.8125,1.3013770580291748,,
1,249,0.875,1.2113507986068726,,
1,299,0.78125,1.3071277141571045,,
1,349,0.875,1.1451666355133057,,
1,395,,,0.8244613409042358,1.243187665939331
2,399,0.90625,1.0496249198913574,,
2,449,0.9375,0.986095130443573,,
2,499,0.78125,1.333871603012085,,
2,549,0.8125,1.3091121912002563,,
2,593,,,0.8244613409042358,1.236137866973877
3,599,0.75,1.3533185720443726,,
3,649,0.8125,1.2916374206542969,,
3,699,0.78125,1.3224271535873413,,
3,749,0.84375,1.2354998588562012,,
3,791,,,0.8244613409042358,1.2371320724487305
4,799,0.9375,0.9404525756835938,,
4,849,0.6875,1.4272361993789673,,
4,899,0.8125,1.2706462144851685,,
4,949,0.78125,1.306504487991333,,
4,989,,,0.8244613409042358,1.2355294227600098
5,999,0.875,1.1592131853103638,,
5,1049,0.875,1.1361769437789917,,
5,1099,0.8125,1.3310396671295166,,
5,1149,0.90625,1.1460089683532715,,
5,1187,,,0.8244613409042358,1.2391351461410522
6,1199,0.78125,1.3496081829071045,,
6,1249,0.84375,1.2727599143981934,,
6,1299,0.875,1.1454062461853027,,
6,1349,0.78125,1.2752845287322998,,
6,1385,,,0.8244613409042358,1.2350891828536987
7,1399,0.71875,1.4051254987716675,,
7,1449,0.6875,1.3712029457092285,,
7,1499,0.9375,0.9724208116531372,,
7,1549,0.84375,1.2288686037063599,,
7,1583,,,0.8244613409042358,1.2373788356781006
8,1599,0.71875,1.4163908958435059,,
8,1649,0.9375,1.0203114748001099,,
8,1699,0.84375,1.2329943180084229,,
8,1749,0.71875,1.3937829732894897,,
8,1781,,,0.8244613409042358,1.2392643690109253
9,1799,0.75,1.3798292875289917,,
9,1849,0.8125,1.2446784973144531,,
9,1899,0.78125,1.3274800777435303,,
9,1949,0.84375,1.2260466814041138,,
9,1979,,,0.8244613409042358,1.2358523607254028
10,1999,0.78125,1.3401827812194824,,
10,2049,0.75,1.3711508512496948,,
10,2099,0.78125,1.299055814743042,,
10,2149,0.8125,1.3351917266845703,,
10,2177,,,0.8244613409042358,1.2406928539276123
11,2199,0.90625,1.082952618598938,,
11,2249,0.84375,1.1867698431015015,,
11,2299,0.96875,0.9050567150115967,,
11,2349,0.875,1.12375009059906,,
11,2375,,,0.8244613409042358,1.239022135734558
12,2399,0.84375,1.1752705574035645,,
12,2449,0.875,1.1327074766159058,,
12,2499,0.8125,1.2325465679168701,,
12,2549,0.875,1.0939158201217651,,
12,2573,,,0.8244613409042358,1.2385914325714111
13,2599,0.8125,1.3373839855194092,,
13,2649,0.8125,1.2632791996002197,,
13,2699,0.90625,1.0874940156936646,,
13,2749,0.75,1.3685959577560425,,
13,2771,,,0.8244613409042358,1.2402724027633667
14,2799,0.8125,1.238454818725586,,
14,2849,0.8125,1.2920345067977905,,
14,2899,0.875,1.1693934202194214,,
14,2949,0.8125,1.2840368747711182,,
14,2969,,,0.8244613409042358,1.2439197301864624
15,2999,0.71875,1.4181978702545166,,
15,3049,0.75,1.3146544694900513,,
15,3099,0.75,1.2639226913452148,,
15,3149,0.90625,1.0642534494400024,,
15,3167,,,0.8244613409042358,1.2380677461624146
16,3199,0.84375,1.2629107236862183,,
16,3249,0.875,1.1283457279205322,,
16,3299,0.78125,1.3354235887527466,,
16,3349,0.71875,1.4653018712997437,,
16,3365,,,0.8244613409042358,1.239872694015503
17,3399,0.78125,1.3504499197006226,,
17,3449,0.90625,1.0372545719146729,,
17,3499,0.84375,1.1950818300247192,,
17,3549,0.9375,0.9077911376953125,,
17,3563,,,0.8244613409042358,1.241146445274353
18,3599,0.6875,1.3481358289718628,,
18,3649,0.78125,1.3530539274215698,,
18,3699,0.875,1.1611441373825073,,
18,3749,0.9375,0.9529719352722168,,
18,3761,,,0.8244613409042358,1.2389044761657715
19,3799,0.875,1.1024417877197266,,
19,3849,0.8125,1.2444020509719849,,
19,3899,0.84375,1.1889907121658325,,
19,3949,0.71875,1.4543676376342773,,
19,3959,,,0.8244613409042358,1.2389912605285645
