epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.90625,1.6278061866760254,,
0,99,0.8125,1.5618579387664795,,
0,149,0.75,1.5713179111480713,,
0,197,,,0.8193916082382202,1.5835272073745728
1,199,0.8125,1.566725492477417,,
1,249,0.875,1.5923115015029907,,
1,299,0.84375,1.5752285718917847,,
1,349,0.78125,1.572859525680542,,
1,395,,,0.8193916082382202,1.5830068588256836
2,399,0.9375,1.6265861988067627,,
2,449,0.875,1.5985573530197144,,
2,499,0.84375,1.5975737571716309,,
2,549,0.65625,1.5522383451461792,,
2,593,,,0.8193916082382202,1.5819392204284668
3,599,0.75,1.5544445514678955,,
3,649,0.75,1.5529816150665283,,
3,699,0.9375,1.608122706413269,,
3,749,0.75,1.5525712966918945,,
3,791,,,0.8193916082382202,1.5821335315704346
4,799,0.75,1.576775074005127,,
4,849,0.875,1.6022663116455078,,
4,899,0.875,1.5964778661727905,,
4,949,0.84375,1.5836225748062134,,
4,989,,,0.8193916082382202,1.5803263187408447
5,999,0.84375,1.6053310632705688,,
5,1049,0.875,1.5964763164520264,,
5,1099,0.96875,1.6506142616271973,,
5,1149,0.875,1.584991693496704,,
5,1187,,,0.8193916082382202,1.5815174579620361
6,1199,0.875,1.6067049503326416,,
6,1249,0.90625,1.6198005676269531,,
6,1299,0.71875,1.5392658710479736,,
6,1349,0.78125,1.5747807025909424,,
6,1385,,,0.8193916082382202,1.579545259475708
7,1399,0.75,1.5589226484298706,,
7,1449,0.875,1.580914855003357,,
7,1499,0.78125,1.6039303541183472,,
7,1549,0.75,1.5440750122070312,,
7,1583,,,0.8193916082382202,1.5784590244293213
8,1599,0.78125,1.5660626888275146,,
8,1649,0.75,1.5638355016708374,,
8,1699,0.6875,1.5656949281692505,,
8,1749,0.78125,1.5493148565292358,,
8,1781,,,0.8193916082382202,1.58079195022583
9,1799,0.8125,1.6109809875488281,,
9,1849,0.625,1.5412631034851074,,
9,1899,0.75,1.5572153329849243,,
9,1949,0.8125,1.5722630023956299,,
9,1979,,,0.8193916082382202,1.5780380964279175
10,1999,0.78125,1.5787142515182495,,
10,2049,0.90625,1.601271390914917,,
10,2099,0.6875,1.5521595478057861,,
10,2149,0.84375,1.5581324100494385,,
10,2177,,,0.8193916082382202,1.5794050693511963
11,2199,0.8125,1.5788404941558838,,
11,2249,0.96875,1.6334010362625122,,
11,2299,0.78125,1.5609557628631592,,
11,2349,0.875,1.566856861114502,,
11,2375,,,0.8193916082382202,1.5795533657073975
12,2399,0.875,1.5835912227630615,,
12,2449,0.90625,1.6230322122573853,,
12,2499,0.875,1.6120465993881226,,
12,2549,0.875,1.6082680225372314,,
12,2573,,,0.8193916082382202,1.578895926475525
13,2599,0.9375,1.6041285991668701,,
13,2649,0.875,1.5929899215698242,,
13,2699,0.875,1.6183314323425293,,
13,2749,0.75,1.5889880657196045,,
13,2771,,,0.8193916082382202,1.5802421569824219
