epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.84375,1.2280665636062622,,
0,99,0.75,1.3384073972702026,,
0,149,0.625,1.63033926486969,,
0,197,,,0.8244613409042358,1.2386655807495117
1,199,0.84375,1.1979292631149292,,
1,249,0.71875,1.4472771883010864,,
1,299,0.71875,1.339499592781067,,
1,349,0.75,1.3689422607421875,,
1,395,,,0.8244613409042358,1.2347240447998047
2,399,0.75,1.3917094469070435,,
2,449,0.75,1.3393783569335938,,
2,499,0.84375,1.213911533355713,,
2,549,0.84375,1.2275344133377075,,
2,593,,,0.8244613409042358,1.2350424528121948
3,599,0.90625,1.0937273502349854,,
3,649,0.96875,0.8443799614906311,,
3,699,0.78125,1.340043544769287,,
3,749,0.75,1.365753173828125,,
3,791,,,0.8244613409042358,1.234026551246643
4,799,0.71875,1.456297755241394,,
4,849,0.75,1.4205621480941772,,
4,899,0.78125,1.3244757652282715,,
4,949,0.65625,1.4548542499542236,,
4,989,,,0.8244613409042358,1.2335203886032104
5,999,0.8125,1.264980673789978,,
5,1049,0.875,1.138692021369934,,
5,1099,0.71875,1.4193443059921265,,
5,1149,0.90625,1.0656834840774536,,
5,1187,,,0.8244613409042358,1.2383159399032593
6,1199,0.90625,1.086485743522644,,
6,1249,0.84375,1.2458726167678833,,
6,1299,0.875,1.130030632019043,,
6,1349,0.90625,1.0249403715133667,,
6,1385,,,0.8244613409042358,1.2369427680969238
7,1399,0.78125,1.3259140253067017,,
7,1449,0.84375,1.22062087059021,,
7,1499,0.875,1.1602928638458252,,
7,1549,0.875,1.159730076789856,,
7,1583,,,0.8244613409042358,1.2366992235183716
8,1599,0.75,1.3953957557678223,,
8,1649,0.96875,0.9184714555740356,,
8,1699,0.71875,1.4417023658752441,,
8,1749,0.78125,1.3815338611602783,,
8,1781,,,0.8244613409042358,1.2382606267929077
9,1799,0.9375,0.9946655035018921,,
9,1849,0.84375,1.2732478380203247,,
9,1899,0.84375,1.2177650928497314,,
9,1949,0.8125,1.284232497215271,,
9,1979,,,0.8244613409042358,1.2432479858398438
