iter	Passed	Remaining
180	410	1855
181	412	1852
182	414	1851
183	416	1849
184	419	1846
185	421	1843
186	423	1841
187	425	1839
188	428	1837
189	430	1835
190	432	1832
191	435	1830
192	437	1829
193	439	1827
194	442	1824
195	444	1822
196	446	1820
197	448	1817
198	450	1814
199	453	1813
200	455	1810
201	457	1808
202	459	1805
203	462	1802
204	464	1800
205	466	1799
206	469	1796
207	471	1795
208	474	1794
209	476	1791
210	478	1788
211	480	1786
212	482	1784
213	485	1782
214	487	1779
215	489	1776
216	491	1774
217	493	1771
218	496	1771
219	498	1769
220	501	1767
221	503	1765
222	505	1762
223	508	1760
224	510	1758
225	512	1755
226	515	1754
227	517	1752
228	519	1750
229	522	1748
230	524	1745
231	526	1743
232	528	1741
233	531	1738
234	533	1736
235	535	1733
236	538	1732
237	540	1729
238	542	1727
239	544	1725
240	547	1723
241	549	1721
242	551	1719
243	554	1716
244	556	1713
245	558	1712
246	560	1709
247	563	1707
248	565	1705
249	567	1703
250	570	1701
251	572	1699
252	574	1697
253	577	1694
254	579	1692
255	581	1689
256	583	1687
257	586	1685
258	588	1683
259	590	1680
260	592	1678
261	595	1676
262	597	1673
263	599	1671
264	601	1668
265	603	1666
266	606	1664
267	608	1661
268	610	1659
269	613	1657
270	615	1655
271	617	1653
272	620	1651
273	622	1648
274	625	1648
275	627	1645
276	629	1642
277	631	1640
278	633	1637
279	635	1635
280	638	1633
281	640	1631
282	642	1628
283	644	1625
284	647	1623
285	649	1621
286	651	1618
287	654	1616
288	656	1614
289	658	1612
290	660	1609
291	663	1607
292	665	1605
293	667	1603
294	669	1600
295	671	1598
296	674	1595
297	676	1594
298	678	1591
299	681	1589
300	683	1587
301	685	1585
302	688	1582
303	690	1580
304	692	1578
305	694	1575
306	697	1573
307	699	1571
308	701	1569
309	704	1567
310	706	1564
311	708	1562
312	711	1560
313	713	1558
314	715	1556
315	717	1553
316	720	1551
317	722	1549
318	724	1547
319	726	1544
320	729	1542
321	731	1541
322	734	1539
323	736	1536
324	738	1533
325	740	1531
326	742	1529
327	745	1527
328	747	1524
329	750	1522
330	752	1520
331	754	1518
332	756	1515
333	758	1513
334	761	1511
335	763	1509
336	765	1506
337	768	1504
338	770	1501
339	772	1499
340	774	1497
341	777	1495
342	779	1492
343	781	1490
344	783	1487
345	785	1485
346	788	1483
347	790	1481
348	792	1478
349	795	1476
350	797	1474
351	799	1472
352	802	1470
353	804	1468
354	806	1465
355	808	1463
356	811	1461
357	813	1458
358	816	1457
359	818	1454
360	820	1452
361	822	1450
362	824	1447
363	827	1445
364	829	1442
365	831	1440
366	833	1438
367	836	1436
368	838	1433
369	840	1431
370	843	1429
371	845	1427
372	847	1424
373	849	1422
374	852	1420
375	854	1417
376	856	1415
377	858	1413
378	861	1411
379	863	1408
380	865	1406
381	868	1404
382	870	1401
383	872	1399
384	874	1397
385	877	1396
386	879	1393
387	882	1391
388	884	1389
389	886	1387
390	889	1384
391	891	1382
392	893	1380
393	895	1377
394	897	1375
395	900	1373
396	902	1371
397	905	1369
398	907	1366
399	909	1364
400	912	1362
401	914	1360
402	916	1357
403	918	1355
404	920	1352
405	922	1350
406	925	1348
407	927	1345
408	929	1343
409	931	1341
410	934	1338
411	936	1336
412	938	1334
413	941	1331
414	943	1329
415	945	1327
416	948	1325
417	950	1323
418	952	1320
419	954	1318
420	956	1315
421	959	1313
422	961	1311
423	963	1308
424	965	1306
425	967	1304
426	970	1302
427	972	1299
428	974	1297
429	977	1295
430	979	1293
431	981	1290
432	984	1288
433	986	1286
434	988	1284
435	991	1282
436	993	1279
437	995	1277
438	997	1275
439	1000	1273
440	1002	1270
441	1004	1268
442	1006	1266
443	1009	1263
444	1011	1261
445	1013	1258
446	1015	1256
447	1017	1254
448	1020	1251
449	1022	1249
450	1024	1247
451	1026	1245
452	1029	1243
453	1031	1240
454	1034	1238
455	1036	1236
456	1038	1234
457	1041	1232
458	1043	1229
459	1045	1227
460	1047	1225
461	1050	1222
462	1052	1220
463	1054	1218
464	1056	1215
465	1059	1213
466	1061	1211
467	1063	1208
468	1065	1206
469	1067	1204
470	1070	1201
471	1072	1199
472	1074	1197
473	1076	1194
474	1078	1192
475	1081	1190
476	1083	1187
477	1085	1185
478	1087	1183
479	1089	1180
480	1092	1178
481	1094	1176
482	1096	1174
483	1099	1171
484	1101	1169
485	1103	1167
486	1105	1164
487	1108	1162
488	1110	1160
489	1112	1158
490	1115	1156
491	1117	1153
492	1119	1151
493	1121	1149
494	1124	1146
495	1126	1144
496	1128	1142
497	1131	1140
498	1133	1137
499	1135	1135
500	1137	1133
501	1139	1130
502	1142	1128
503	1144	1126
504	1147	1124
505	1149	1122
506	1151	1119
507	1153	1117
508	1155	1115
509	1158	1112
510	1160	1110
511	1162	1108
512	1164	1105
513	1166	1103
514	1169	1101
515	1171	1098
516	1173	1096
517	1175	1094
518	1177	1091
519	1180	1089
520	1182	1087
521	1184	1085
522	1187	1082
523	1189	1080
524	1191	1078
525	1193	1075
526	1196	1073
527	1198	1071
528	1200	1068
529	1203	1066
530	1205	1064
531	1207	1062
532	1209	1059
533	1212	1057
534	1214	1055
535	1216	1053
536	1218	1050
537	1221	1048
538	1223	1046
539	1225	1044
540	1228	1041
541	1230	1039
542	1232	1037
543	1234	1035
544	1237	1032
545	1239	1030
546	1241	1028
547	1243	1025
548	1246	1023
549	1248	1021
550	1250	1018
551	1252	1016
552	1254	1014
553	1257	1012
554	1259	1009
555	1261	1007
556	1263	1004
557	1266	1002
558	1268	1000
559	1270	998
560	1272	996
561	1275	993
562	1277	991
563	1279	989
564	1281	986
565	1284	984
566	1286	982
567	1289	980
568	1291	978
569	1293	975
570	1295	973
571	1298	971
572	1300	969
573	1302	966
574	1305	964
575	1307	962
576	1309	960
577	1312	958
578	1314	955
579	1316	953
580	1319	951
581	1321	948
582	1323	946
583	1325	944
584	1328	942
585	1330	940
586	1332	937
587	1334	935
588	1337	933
589	1339	930
590	1341	928
591	1344	926
592	1346	924
593	1348	921
594	1351	919
595	1353	917
596	1355	915
597	1357	912
598	1360	910
599	1362	908
600	1364	905
601	1366	903
602	1368	901
603	1371	898
604	1373	896
605	1375	894
606	1377	892
607	1380	889
608	1382	887
609	1384	885
610	1386	882
611	1389	880
612	1391	878
613	1393	876
614	1395	873
615	1398	871
616	1400	869
617	1403	867
618	1405	865
619	1408	863
620	1410	860
621	1412	858
622	1415	856
623	1417	854
624	1420	852
625	1422	849
626	1425	847
627	1427	845
628	1430	843
629	1432	841
630	1434	839
631	1437	836
632	1440	834
633	1442	832
634	1444	830
635	1446	828
636	1449	825
637	1451	823
638	1453	821
639	1456	819
640	1458	816
641	1460	814
642	1463	812
643	1465	810
644	1467	807
645	1470	805
646	1472	803
647	1475	801
648	1477	799
649	1480	796
650	1482	794
651	1484	792
652	1486	790
653	1489	787
654	1491	785
655	1493	783
656	1496	781
657	1498	778
658	1500	776
659	1502	774
660	1505	771
661	1507	769
662	1509	767
663	1512	765
664	1514	762
665	1516	760
666	1518	758
667	1520	755
668	1523	753
669	1525	751
670	1527	749
671	1530	746
672	1532	744
673	1534	742
674	1537	740
675	1539	737
676	1541	735
677	1544	733
678	1546	730
679	1548	728
680	1550	726
681	1552	724
682	1554	721
683	1557	719
684	1559	717
685	1561	714
686	1564	712
687	1566	710
688	1568	708
689	1570	705
690	1573	703
691	1575	701
692	1577	698
693	1580	696
694	1582	694
695	1584	692
696	1586	689
697	1589	687
698	1591	685
699	1593	682
700	1595	680
701	1597	678
702	1600	676
703	1602	673
704	1604	671
705	1606	669
706	1609	666
707	1611	664
708	1613	662
709	1616	660
710	1618	657
711	1621	655
712	1623	653
713	1625	651
714	1627	648
715	1629	646
716	1631	644
717	1634	641
718	1636	639
719	1638	637
720	1640	634
721	1642	632
722	1645	630
723	1647	627
724	1649	625
725	1651	623
726	1653	620
727	1655	618
728	1657	616
729	1660	614
730	1662	611
731	1664	609
732	1667	607
733	1669	605
734	1672	602
735	1674	600
736	1677	598
737	1679	596
738	1681	593
739	1683	591
740	1686	589
741	1688	587
742	1690	584
743	1692	582
744	1694	580
745	1697	577
746	1699	575
747	1701	573
748	1703	570
749	1706	568
750	1708	566
751	1711	564
752	1713	561
753	1715	559
754	1717	557
755	1719	555
756	1721	552
757	1724	550
758	1726	548
759	1728	545
760	1730	543
761	1732	541
762	1735	538
763	1737	536
764	1739	534
765	1741	532
766	1743	529
767	1746	527
768	1748	525
769	1750	522
770	1752	520
771	1754	518
772	1757	516
773	1759	513
774	1761	511
775	1764	509
776	1767	507
777	1769	504
778	1771	502
779	1774	500
780	1776	498
781	1778	495
782	1780	493
783	1783	491
784	1785	489
785	1788	486
786	1790	484
787	1792	482
788	1795	480
789	1797	477
790	1800	475
791	1802	473
792	1804	471
793	1806	468
794	1809	466
795	1811	464
796	1813	461
797	1815	459
798	1818	457
799	1820	455
800	1822	452
801	1824	450
802	1827	448
803	1829	445
804	1831	443
805	1833	441
806	1835	439
807	1838	436
808	1840	434
809	1842	432
810	1844	429
811	1847	427
812	1849	425
813	1851	423
814	1854	420
815	1856	418
816	1858	416
817	1860	413
818	1862	411
819	1864	409
820	1867	407
821	1869	404
822	1871	402
823	1873	400
824	1876	397
825	1878	395
826	1880	393
827	1882	391
828	1885	388
829	1887	386
830	1889	384
831	1892	382
832	1894	379
833	1897	377
834	1899	375
835	1901	373
836	1904	370
837	1906	368
838	1908	366
839	1910	363
840	1913	361
841	1915	359
842	1917	357
843	1920	354
844	1922	352
845	1924	350
846	1926	348
847	1929	345
848	1931	343
849	1933	341
850	1935	338
851	1938	336
852	1940	334
853	1942	332
854	1944	329
855	1947	327
856	1949	325
857	1951	323
858	1954	320
859	1956	318
860	1958	316
861	1961	313
862	1963	311
863	1965	309
864	1967	307
865	1970	304
866	1972	302
867	1974	300
868	1976	297
869	1978	295
870	1981	293
871	1983	291
872	1985	288
873	1988	286
874	1990	284
875	1992	282
876	1994	279
877	1997	277
878	1999	275
879	2001	272
880	2003	270
881	2006	268
882	2008	266
883	2010	263
884	2013	261
885	2015	259
886	2017	257
887	2019	254
888	2022	252
889	2024	250
890	2026	247
891	2028	245
892	2031	243
893	2033	241
894	2035	238
895	2038	236
896	2040	234
897	2042	232
898	2045	229
899	2047	227
900	2049	225
901	2051	222
902	2054	220
903	2056	218
904	2058	216
905	2060	213
906	2063	211
907	2065	209
908	2067	206
909	2069	204
910	2072	202
911	2074	200
912	2076	197
913	2079	195
914	2081	193
915	2084	191
916	2086	188
917	2088	186
918	2090	184
919	2093	182
920	2095	179
921	2097	177
922	2100	175
923	2102	172
924	2104	170
925	2106	168
926	2109	166
927	2111	163
928	2113	161
929	2115	159
930	2118	156
931	2120	154
932	2122	152
933	2125	150
934	2127	147
935	2129	145
936	2132	143
937	2134	141
938	2136	138
939	2139	136
940	2141	134
941	2143	131
942	2145	129
943	2147	127
944	2150	125
945	2152	122
946	2154	120
947	2156	118
948	2158	116
949	2161	113
950	2163	111
951	2165	109
952	2167	106
953	2170	104
954	2172	102
955	2174	100
956	2177	97
957	2179	95
958	2181	93
959	2184	91
960	2186	88
961	2188	86
962	2190	84
963	2193	81
964	2195	79
965	2197	77
966	2200	75
967	2202	72
968	2204	70
969	2206	68
970	2209	65
971	2211	63
972	2213	61
973	2215	59
974	2219	56
975	2221	54
976	2223	52
977	2226	50
978	2228	47
979	2230	45
980	2232	43
981	2235	40
982	2237	38
983	2239	36
984	2241	34
985	2244	31
986	2246	29
987	2248	27
988	2250	25
989	2253	22
990	2255	20
991	2257	18
992	2259	15
993	2262	13
994	2264	11
995	2266	9
996	2269	6
997	2271	4
998	2273	2
999	2275	0
