epoch,step,train_acc,train_loss,val_acc,val_loss
0,49,0.8125,0.717779278755188,,
0,99,0.8125,0.7546709179878235,,
0,149,0.75,0.8612706661224365,,
0,197,,,0.8276299238204956,0.6608687043190002
1,199,0.75,0.8602060079574585,,
1,249,0.84375,0.6183103919029236,,
1,299,0.8125,0.6790324449539185,,
1,349,0.96875,0.2804471552371979,,
1,395,,,0.8276299238204956,0.6489964127540588
2,399,0.78125,0.7691836357116699,,
2,449,0.875,0.518402099609375,,
2,499,0.875,0.5186217427253723,,
2,549,0.90625,0.4330395758152008,,
2,593,,,0.8276299238204956,0.6509034037590027
3,599,0.8125,0.7238552570343018,,
3,649,0.8125,0.7005438804626465,,
3,699,0.9375,0.3690571188926697,,
3,749,0.90625,0.43542391061782837,,
3,791,,,0.8276299238204956,0.6491224765777588
4,799,0.96875,0.29209792613983154,,
4,849,0.875,0.5258885025978088,,
4,899,0.75,0.8372225165367126,,
4,949,0.8125,0.6926872134208679,,
4,989,,,0.8276299238204956,0.6568622589111328
5,999,0.75,0.8876944184303284,,
5,1049,0.8125,0.6949280500411987,,
5,1099,0.75,0.8401331305503845,,
5,1149,0.90625,0.4433956742286682,,
5,1187,,,0.8276299238204956,0.6472525000572205
6,1199,0.84375,0.5874465107917786,,
6,1249,0.84375,0.609695315361023,,
6,1299,0.84375,0.6001604795455933,,
6,1349,0.84375,0.5954614877700806,,
6,1385,,,0.8276299238204956,0.6500234007835388
7,1399,0.65625,1.140494704246521,,
7,1449,0.78125,0.7821062803268433,,
7,1499,0.84375,0.6200308799743652,,
7,1549,0.8125,0.688397228717804,,
7,1583,,,0.8276299238204956,0.6502087712287903
8,1599,0.71875,0.9050934314727783,,
8,1649,0.6875,1.0104602575302124,,
8,1699,0.875,0.5241260528564453,,
8,1749,0.78125,0.7720651030540466,,
8,1781,,,0.8276299238204956,0.6476733088493347
9,1799,0.9375,0.345691442489624,,
9,1849,0.90625,0.4332430958747864,,
9,1899,0.75,0.8414852619171143,,
9,1949,0.875,0.5206310153007507,,
9,1979,,,0.8276299238204956,0.6486628651618958
10,1999,0.875,0.5181270837783813,,
10,2049,0.84375,0.6189664006233215,,
10,2099,0.71875,0.9211512804031372,,
10,2149,0.71875,0.9988172054290771,,
10,2177,,,0.8276299238204956,0.6480998992919922
11,2199,0.75,0.8820784687995911,,
11,2249,0.875,0.5181567072868347,,
11,2299,0.84375,0.6123741865158081,,
11,2349,0.8125,0.6822832822799683,,
11,2375,,,0.8276299238204956,0.6504883170127869
12,2399,0.8125,0.6939220428466797,,
12,2449,0.625,1.2101221084594727,,
12,2499,0.71875,0.9324066042900085,,
12,2549,0.8125,0.7029669880867004,,
12,2573,,,0.8276299238204956,0.6473166942596436
13,2599,0.8125,0.6844573616981506,,
13,2649,0.78125,0.772361159324646,,
13,2699,0.8125,0.6723622679710388,,
13,2749,0.90625,0.43564173579216003,,
13,2771,,,0.8276299238204956,0.647454023361206
14,2799,0.875,0.5348054766654968,,
14,2849,0.84375,0.6127861738204956,,
14,2899,0.65625,1.1006507873535156,,
14,2949,0.96875,0.2894003093242645,,
14,2969,,,0.8276299238204956,0.6497379541397095
15,2999,0.65625,1.129058837890625,,
15,3049,0.84375,0.6134401559829712,,
15,3099,0.8125,0.6896944642066956,,
15,3149,0.8125,0.6912640333175659,,
15,3167,,,0.8276299238204956,0.647511899471283
16,3199,0.84375,0.5971333980560303,,
16,3249,0.71875,0.9484066963195801,,
16,3299,0.875,0.5263155698776245,,
16,3349,0.75,0.8352964520454407,,
16,3365,,,0.8276299238204956,0.650650143623352
17,3399,0.78125,0.7883781790733337,,
17,3449,0.8125,0.652777910232544,,
17,3499,0.8125,0.6822284460067749,,
17,3549,0.84375,0.6079354882240295,,
